Hour,mu_solar(kW/m^2),sigma_solar(kW/m^2),mu_wind(m/s),sigma_wind(m/s),hourly_load,price,hourly_load2
1,0,0,9.9,0.7937,64,50,15
2,0,0,9.3667,0.8021,60,50,15
3,0,0,9.1667,0.8505,58,55,15
4,0,0,9,0.8185,56,50,15
5,0,0,8.7,0.755,56,65,15
6,0.0983,0.0307,8.6,1.0583,58,70,15
7,0.238,0.1264,9,1.1533,64,75,15
8,0.4094,0.17,9.0333,1.1504,76,90,15
9,0.5607,0.1923,9.3333,0.9504,87,75,15
10,0.6636,0.2203,9.6,1.1533,95,65,100
11,0.6949,0.2216,10.1333,1.0066,99,60,100
12,0.6841,0.2128,10.2667,0.8622,100,55,100
13,0.5894,0.1838,7.9667,0.3786,99,50,100
14,0.4349,0.1564,8,0.4583,100,70,100
15,0.2596,0.1103,8,0.5,100,75,100
16,0.1039,0.0316,7.7333,0.4509,97,85,100
17,0.103,0.03,6.9667,0.2309,96,90,100
18,0,0,5.9667,0.3786,96,95,100
19,0,0,4.8333,0.3215,93,100,100
20,0,0,4.4333,0.3215,92,105,100
21,0,0,4.3333,0.4163,92,100,100
22,0,0,4.1,0.2646,93,90,93
23,0,0,4.0667,0.2082,87,85,87
24,0,0,4,0.1732,72,70,72
25,0,0,9.9,0.7937,64,50,15
