Hour,mu_solar(kW/m^2),sigma_solar(kW/m^2),mu_wind(m/s),sigma_wind(m/s),hourly_load,price,hourly_load2,residential,commercial,industrial
1,0,0,9.9,0.7937,64,50,15,0.8,0.4,0.3
2,0,0,9.3667,0.8021,60,50,15,0.72,0.38,0.28
3,0,0,9.1667,0.8505,58,55,15,0.68,0.35,0.25
4,0,0,9,0.8185,56,50,15,0.64,0.36,0.22
5,0,0,8.7,0.755,56,65,15,0.63,0.4,0.21
6,0.0983,0.0307,8.6,1.0583,58,70,15,0.62,0.6,0.23
7,0.238,0.1264,9,1.1533,64,75,15,0.6,0.8,0.31
8,0.4094,0.17,9.0333,1.1504,76,90,15,0.61,0.96,0.5
9,0.5607,0.1923,9.3333,0.9504,87,75,15,0.68,1,0.55
10,0.6636,0.2203,9.6,1.1533,95,65,100,0.77,0.98,0.56
11,0.6949,0.2216,10.1333,1.0066,99,60,100,0.81,0.96,0.58
12,0.6841,0.2128,10.2667,0.8622,100,55,100,0.84,0.94,0.59
13,0.5894,0.1838,7.9667,0.3786,99,50,100,0.84,0.85,0.43
14,0.4349,0.1564,8,0.4583,100,70,100,0.84,0.6,0.4
15,0.2596,0.1103,8,0.5,100,75,100,0.85,0.56,0.42
16,0.1039,0.0316,7.7333,0.4509,97,85,100,0.84,0.55,0.8
17,0.103,0.03,6.9667,0.2309,96,90,100,0.85,0.525,0.86
18,0,0,5.9667,0.3786,96,95,100,0.83,0.5,0.96
19,0,0,4.8333,0.3215,93,100,100,0.81,0.47,1
20,0,0,4.4333,0.3215,92,105,100,0.82,0.44,0.96
21,0,0,4.3333,0.4163,92,100,100,0.98,0.47,0.8
22,0,0,4.1,0.2646,93,90,93,1,0.5,0.5
23,0,0,4.0667,0.2082,87,85,87,0.97,0.43,0.35
24,0,0,4,0.1732,72,70,72,0.9,0.42,0.3
25,0,0,9.9,0.7937,64,50,15,0.8,0.4,0.3
