,mu_wind(m/s),sigma_wind(m/s),v_h,P_wind
0,9.9,0.7937,9.9,0.29315079365079366
1,9.3667,0.8021,9.3667,0.2494967871169791
2,9.1667,0.8505,9.1667,0.23435127349734367
3,9.0,0.8185,9.0,0.2222222222222222
4,8.7,0.755,8.7,0.20149999999999996
5,8.6,1.0583,8.6,0.194901822457378
6,9.0,1.1533,9.0,0.2222222222222222
7,9.0333,1.1504,9.0333,0.22460960521929368
8,9.3333,0.9504,9.3333,0.2469219065129444
9,9.6,1.1533,9.6,0.268
10,10.1333,1.0066,10.1333,0.3137934848010103
11,10.2667,0.8622,10.2667,0.32603257988682044
12,7.9667,0.3786,7.9667,0.15656466091533305
13,8.0,0.4583,8.0,0.15843621399176955
14,8.0,0.5,8.0,0.15843621399176955
15,7.7333,0.4509,7.7333,0.1438805770973066
16,6.9667,0.2309,6.9667,0.10732749846089448
17,5.9667,0.3786,5.9667,0.07037728486007144
18,4.8333,0.3215,4.8333,0.04112572044151588
19,4.4333,0.3215,4.4333,0.03354871789360288
20,4.3333,0.4163,4.3333,0.031854348209005595
21,4.1,0.2646,4.1,0.0281954732510288
22,4.0667,0.2082,4.0667,0.027705844626973248
23,4.0,0.1732,4.0,0.026748971193415638
