,mu_wind(m/s),sigma_wind(m/s),v_h_max,v_h_min,P_wind_max,P_wind_min
0,9.9,0.7937,10.6937,9.106300000000001,0.36739577095795206,0.22990511251823845
1,9.3667,0.8021,10.1688,8.5646,0.31701928656457135,0.19260250886717697
2,9.1667,0.8505,10.0172,8.3162,0.30340061148984365,0.17699635302984365
3,9.0,0.8185,9.8185,8.1815,0.28616469385115373,0.16891375456154467
4,8.7,0.755,9.455,7.944999999999999,0.25639296630658437,0.15535344903733095
5,8.6,1.0583,9.6583,7.5417,0.2727668636646935,0.13402441873507143
6,9.0,1.1533,10.1533,7.8467,0.31560806272382036,0.1499490942603066
7,9.0333,1.1504,10.1837,7.8829,0.31837994408678805,0.15192366023421194
8,9.3333,0.9504,10.2837,8.3829,0.32761534523523006,0.1810968946889444
9,9.6,1.1533,10.7533,8.4467,0.37343953409419073,0.18508069261480392
10,10.1333,1.0066,11.1399,9.1267,0.4142952129495001,0.23140022396565635
11,10.2667,0.8622,11.1289,9.4045,0.4130926348120426,0.2524331073313125
12,7.9667,0.3786,8.3453,7.588100000000001,0.17877729012365579,0.13636601852523253
13,8.0,0.4583,8.4583,7.5417,0.18581152092395264,0.13402441873507143
14,8.0,0.5,8.5,7.5,0.18845532039976484,0.13194444444444445
15,7.7333,0.4509,8.1842,7.2824,0.16907318083471137,0.12146092483604468
16,6.9667,0.2309,7.1976,6.7358,0.11754111593244447,0.09776895733295474
17,5.9667,0.3786,6.3453,5.588100000000001,0.08303343576151587,0.05922951950700796
18,4.8333,0.3215,5.154800000000001,4.5118,0.048199046172425646,0.03493348953057966
19,4.4333,0.3215,4.7548,4.1118,0.039534715882008235,0.028370896030285708
20,4.3333,0.4163,4.7496,3.9170000000000003,0.039431158812444446,0.025602027105526164
21,4.1,0.2646,4.364599999999999,3.8353999999999995,0.03237638605236213,0.024520828449695466
22,4.0667,0.2082,4.2749,3.8585,0.030900298152777478,0.02482229096167695
23,4.0,0.1732,4.1732,3.8268,0.02930005131545208,0.024409518866793652
