Hour,mu_solar(kW/m^2),sigma_solar(kW/m^2),mu_wind(m/s),sigma_wind(m/s),hourly_load,price
1,0,0,9.9,0.7937,78,50
2,0,0,9.3667,0.8021,72,35
3,0,0,9.1667,0.8505,68,35
4,0,0,9,0.8185,66,35
5,0,0,8.7,0.755,64,35
6,0.0983,0.0307,8.6,1.0583,65,35
7,0.238,0.1264,9,1.1533,66,41
8,0.4094,0.17,9.0333,1.1504,70,50
9,0.5607,0.1923,9.3333,0.9504,80,50
10,0.6636,0.2203,9.6,1.1533,88,65
11,0.6949,0.2216,10.1333,1.0066,90,65
12,0.6841,0.2128,10.2667,0.8622,91,65
13,0.5894,0.1838,7.9667,0.3786,90,68
14,0.4349,0.1564,8,0.4583,88,68
15,0.2596,0.1103,8,0.5,87,68
16,0.1039,0.0316,7.7333,0.4509,87,68
17,0.103,0.03,6.9667,0.2309,91,126
18,0,0,5.9667,0.3786,100,143
19,0,0,4.8333,0.3215,99,143
20,0,0,4.4333,0.3215,97,83
21,0,0,4.3333,0.4163,94,85
22,0,0,4.1,0.2646,92,76
23,0,0,4.0667,0.2082,87,63
24,0,0,4,0.1732,81,65
